s.Control	s.Blood_D64	s.Faeces_D64	s.Pig_D64	s.Urine_D64	index	stat	p.value
X22	1	0	1	0	0	7	0.853958331990009	4e-04
X28	1	0	1	0	0	7	0.768863750861788	0.0087
X31	1	0	0	0	0	1	0.792664400768266	0.005
X38	1	1	1	0	0	16	0.770444100624219	0.0047
X52	1	0	1	0	0	7	0.588923664211492	0.0939
X61	1	0	0	0	0	1	0.663611255102184	0.029
X77	1	1	0	0	1	18	0.602066427530581	0.0833
X80	0	1	0	0	1	12	0.834153600585214	0.0039
X81	1	1	1	0	0	16	0.594829837757618	0.0914
X86	0	1	0	1	1	24	0.624825178802072	0.0584
X88	1	1	0	0	1	18	0.544698878987345	0.1596
X89	1	0	1	0	0	7	0.8235315270205	5e-04
X98	0	1	0	1	1	24	0.850201458349846	0.003
X100	1	0	1	0	0	7	0.854767534415241	2e-04
X102	1	0	0	0	0	1	0.620023626220431	0.0626
X109	1	0	0	0	0	1	0.823161054822116	3e-04
X116	1	1	1	0	0	16	0.724500715893881	0.009
X117	0	1	0	0	0	2	0.596194884465475	0.0819
X118	1	1	0	0	0	6	0.764305625712421	0.0028
X119	1	0	1	0	0	7	0.84194425413312	1e-04
X120	1	0	1	0	0	7	0.918486508577545	1e-04
X122	1	0	1	0	0	7	0.821767200513667	0.001
X124	1	1	1	0	1	27	0.556808979766248	0.1596
X126	1	0	1	0	0	7	0.817831355668678	9e-04
X127	0	1	0	0	0	2	0.675212267396279	0.0196
X128	1	0	0	0	0	1	0.5729834654025	0.1224
X131	1	0	0	0	0	1	0.813646120212135	3e-04
X133	1	0	1	0	0	7	0.897984909953591	2e-04
X141	1	0	0	0	0	1	0.559864548769574	0.1554
X143	1	0	0	0	0	1	0.698171130292432	0.0171
X145	1	0	0	0	0	1	0.794871133802259	0.0011
X150	0	1	0	0	0	2	0.742145669969049	0.0058
X151	1	0	0	0	0	1	0.471261080381734	0.3271
X159	1	0	0	0	0	1	0.838923521910323	2e-04
X169	0	1	0	0	1	12	0.609305939878609	0.0613
X170	0	1	0	0	0	2	0.890569437300927	0.0018
X174	1	0	1	0	0	7	0.843628834243878	1e-04
X177	1	0	0	0	0	1	0.707337840865245	0.012
X178	1	0	1	0	1	20	0.66608338392495	0.0287
X183	1	0	0	0	0	1	0.780204609756047	9e-04
X185	1	1	1	0	0	16	0.747459298529156	0.0053
X186	1	0	1	0	0	7	0.760774692730085	0.0018
X193	0	1	0	1	1	24	0.896924314739217	5e-04
X194	1	0	0	0	0	1	0.621809951811032	0.0699
X198	1	1	1	0	0	16	0.645815670515357	0.0421
X204	0	1	0	0	1	12	0.9347499088952	4e-04
X207	1	1	1	0	1	27	0.453345624595044	0.3748
X211	1	0	0	0	0	1	0.637897115130598	0.0482
X212	1	1	0	0	1	18	0.713643861965573	0.0082
X213	0	1	0	0	0	2	0.686896674587463	0.0233
X214	1	0	0	0	1	9	0.65736173952241	0.0381
X221	1	0	0	0	0	1	0.648800321675279	0.0426
X226	1	0	0	0	0	1	0.675751030639875	0.0255
X234	1	0	0	0	0	1	0.512082370716427	0.243
X236	0	1	0	0	1	12	0.874381837288795	0.0021
X237	1	0	0	0	0	1	0.683754925177348	0.0197
X238	0	1	0	0	1	12	0.573126302218623	0.1065
X244	1	0	0	0	0	1	0.809626376329597	4e-04
X245	0	1	0	0	1	12	0.828911190994808	0.0032
X254	1	0	1	0	0	7	0.532455262394046	0.1839
X255	1	1	0	0	0	6	0.65587201968597	0.0329
X260	0	0	0	0	1	5	0.696836236330711	0.0203
X261	1	1	1	0	0	16	0.617287988004785	0.075
X269	1	0	1	0	0	7	0.661493011813875	0.0354
X284	1	0	1	0	0	7	0.780765960117302	0.0013
X285	1	0	1	0	0	7	0.667560526318025	0.0281
X286	1	1	0	0	1	18	0.684963393024232	0.0173
X289	1	1	1	0	0	16	0.590502339467247	0.1073
X295	1	1	0	0	1	18	0.590555568862317	0.0949
X296	0	0	0	0	1	5	0.903168209513772	7e-04
X298	1	1	1	0	0	16	0.536257086267084	0.1879
X307	1	0	0	0	0	1	0.629994419218032	0.0488
X311	1	0	0	0	0	1	0.601955076593517	0.0853
X315	1	0	0	0	0	1	0.746492188653343	0.0061
X326	1	0	0	0	0	1	0.711589010922103	0.0154
X330	1	0	0	0	0	1	0.796363757791128	0.0016
X331	0	1	0	0	0	2	0.682537167604403	0.0178
X335	1	0	1	0	0	7	0.627917537628555	0.0558
X336	1	0	1	0	0	7	0.716917163397208	0.0108
X343	1	0	0	0	0	1	0.685231328870492	0.0226
X349	0	1	0	0	1	12	0.89307294461737	0.001
X351	1	0	0	0	0	1	0.46823665291006	0.3232
X354	1	0	1	0	0	7	0.551570930781449	0.1398
X355	1	0	0	0	0	1	0.811652898241022	0.0012
X356	1	0	0	0	0	1	0.824521751792551	4e-04
X360	1	0	0	0	0	1	0.660761110014385	0.0337
X361	0	1	0	0	0	2	0.849263808867729	0.0041
X370	1	1	0	0	0	6	0.553547483244544	0.1375
X372	1	1	0	0	0	6	0.561419703803129	0.1365
X373	0	1	1	0	1	23	0.656519043081954	0.0358
X382	1	0	1	0	0	7	0.661241647514654	0.0357
X384	0	1	0	0	0	2	0.948146487312628	8e-04
X386	1	0	0	0	0	1	0.738563130643851	0.0075
X388	0	1	0	0	1	12	0.632292353918779	0.0496
X397	1	1	0	0	0	6	0.674630680540513	0.0249
X405	0	0	1	0	0	3	0.811593184066372	0.0036
X408	1	0	1	0	0	7	0.809371755656264	9e-04
X413	1	0	0	0	0	1	0.862847894571318	1e-04
X415	0	1	0	0	0	2	0.621429818155843	0.0539
X419	0	1	0	0	1	12	0.872678769258493	0.0026
X420	0	0	0	0	1	5	0.775930883684434	0.0027
X421	0	1	1	0	1	23	0.461838017621869	0.3449
X427	1	0	1	0	0	7	0.691734096910672	0.0242
