s.Control	s.Blood_D64	s.Faeces_D64	s.Pig_D64	s.Urine_D64	index	stat	p.value
X12	1	1	0	0	0	6	0.67430018727838	0.0252
X22	1	0	1	0	0	7	0.853958331990009	4e-04
X28	1	0	1	0	0	7	0.768863750861788	0.0097
X29	1	1	0	0	1	18	0.729148279116691	0.0063
X31	1	0	0	0	0	1	0.792664400768266	0.0055
X38	1	1	1	0	0	16	0.770444100624219	0.0051
X61	1	0	0	0	0	1	0.663611255102184	0.0294
X80	0	1	0	0	1	12	0.834153600585214	0.0049
X89	1	0	1	0	0	7	0.8235315270205	4e-04
X98	0	1	0	1	1	24	0.850201458349846	0.0036
X100	1	0	1	0	0	7	0.854767534415241	2e-04
X109	1	0	0	0	0	1	0.823161054822116	4e-04
X113	1	1	0	0	0	6	0.657867175786989	0.0371
X116	1	1	1	0	0	16	0.724500715893881	0.0079
X118	1	1	0	0	0	6	0.764305625712421	0.0046
X119	1	0	1	0	0	7	0.84194425413312	3e-04
X120	1	0	1	0	0	7	0.918486508577545	1e-04
X122	1	0	1	0	0	7	0.821767200513667	0.0013
X126	1	0	1	0	0	7	0.817831355668678	0.0014
X127	0	1	0	0	0	2	0.675212267396279	0.023
X131	1	0	0	0	0	1	0.813646120212135	6e-04
X133	1	0	1	0	0	7	0.897984909953591	2e-04
X143	1	0	0	0	0	1	0.698171130292432	0.0157
X145	1	0	0	0	0	1	0.794871133802259	9e-04
X150	0	1	0	0	0	2	0.742145669969049	0.006
X159	1	0	0	0	0	1	0.838923521910323	4e-04
X170	0	1	0	0	0	2	0.890569437300927	0.0013
X174	1	0	1	0	0	7	0.843628834243878	1e-04
X177	1	0	0	0	0	1	0.707337840865245	0.0116
X183	1	0	0	0	0	1	0.780204609756047	0.001
X185	1	1	1	0	0	16	0.747459298529156	0.0039
X187	1	0	0	0	0	1	0.676884851208215	0.0264
X193	0	1	0	1	1	24	0.896924314739217	6e-04
X198	1	1	1	0	0	16	0.645815670515357	0.0423
X204	0	1	0	0	1	12	0.9347499088952	8e-04
X213	0	1	0	0	0	2	0.686896674587463	0.0219
X244	1	0	0	0	0	1	0.809626376329597	3e-04
X245	0	1	0	0	1	12	0.828911190994808	0.003
X255	1	1	0	0	0	6	0.65587201968597	0.0334
X260	0	0	0	0	1	5	0.696836236330711	0.0182
X269	1	0	1	0	0	7	0.661493011813875	0.0372
X284	1	0	1	0	0	7	0.780765960117302	0.0018
X285	1	0	1	0	0	7	0.667560526318025	0.0297
X286	1	1	0	0	1	18	0.684963393024232	0.0165
X296	0	0	0	0	1	5	0.903168209513772	7e-04
X326	1	0	0	0	0	1	0.711589010922103	0.0146
X336	1	0	1	0	0	7	0.716917163397208	0.0108
X343	1	0	0	0	0	1	0.685231328870492	0.0234
X349	0	1	0	0	1	12	0.89307294461737	7e-04
X360	1	0	0	0	0	1	0.660761110014385	0.0364
X361	0	1	0	0	0	2	0.849263808867729	0.0034
X384	0	1	0	0	0	2	0.948146487312628	5e-04
X408	1	0	1	0	0	7	0.809371755656264	9e-04
X419	0	1	0	0	1	12	0.872678769258493	0.0026
X433	0	1	0	0	0	2	0.784913761527101	0.0019
X438	0	1	1	0	0	10	0.647664688436162	0.0425
X439	1	0	0	0	0	1	0.653332851915114	0.038
X459	0	1	0	0	0	2	0.912802609385645	3e-04
X469	0	1	0	0	0	2	0.809404610457305	0.0043
X485	1	0	0	0	0	1	0.744939664313094	0.0061
X495	0	1	0	0	1	12	0.71389831152215	0.0198
X496	1	0	0	0	1	9	0.633188697721957	0.0493
X497	0	0	0	0	1	5	0.917200427050679	0.0011
X504	1	0	0	0	0	1	0.642723141219938	0.0473
X521	0	1	0	0	0	2	0.970961528525485	5e-04
X527	0	1	0	0	1	12	0.700869917832997	0.0173
X534	0	1	0	0	0	2	0.857287033658713	0.0014
X545	0	1	0	0	1	12	0.807482171456084	0.003
X546	0	1	0	0	1	12	0.894745254212545	0.0024
X598	0	1	0	0	1	12	0.96984855833576	1e-04
X609	0	1	0	0	1	12	0.837495121945937	0.0048
X610	0	1	0	0	1	12	0.762709681773665	0.012
X620	1	0	1	0	0	7	0.671800855471678	0.0305
X625	0	1	0	0	0	2	0.96420076716538	7e-04
X640	0	1	0	0	0	2	0.688912091212428	0.0133
X652	0	0	1	0	0	3	0.793870529526704	0.0046
X677	0	1	0	0	1	12	0.872009295040585	0.0022
X711	0	1	0	0	1	12	0.699339846271518	0.0215
X777	1	0	0	0	0	1	0.681235438244268	0.0258
X794	0	1	0	0	1	12	0.915590271675564	0.002
X811	1	0	0	0	0	1	0.774412526443388	0.0048
X812	0	1	0	0	1	12	0.93895763303148	4e-04
X813	0	1	0	0	1	12	0.786628855665982	0.0087
X827	0	1	0	0	1	12	0.684011096254261	0.022
X843	0	1	0	0	0	2	0.862975608563042	0.0011
X849	1	0	1	0	0	7	0.653396994707046	0.0428
X854	0	1	1	0	0	10	0.778025026405294	0.0083
X855	0	1	0	1	1	24	0.865028252729767	0.0056
X856	0	0	1	0	1	14	0.674591666118509	0.0326
X870	0	1	0	0	1	12	0.681759695977496	0.0348
X872	0	1	0	0	0	2	0.790244824077345	0.0052
X886	0	0	1	0	0	3	0.737256853849233	0.0092
X904	1	0	0	0	0	1	0.674818103363636	0.0253
X921	0	1	0	0	1	12	0.863238124860725	0.0024
X928	0	0	0	0	1	5	0.965834784740657	1e-04
X938	1	0	1	0	0	7	0.728098913186869	0.0115
X954	1	0	0	0	0	1	0.643737239539848	0.0467
X971	0	1	0	0	1	12	0.700102219216258	0.0314
X1010	0	1	0	0	1	12	0.998534906207865	1e-04
X1020	0	1	0	0	1	12	0.884617418701695	0.0036
X1059	0	0	1	0	0	3	0.756250582492592	0.0122
X1088	0	1	0	0	1	12	0.823958072340077	0.0032
X1105	0	0	0	1	0	4	0.915197796632267	8e-04
X1108	0	0	1	0	0	3	0.999016625177365	4e-04
X1114	0	1	0	0	0	2	0.952389876448516	5e-04
X1144	1	0	0	0	0	1	0.6397632782164	0.0447
X1298	0	1	0	0	1	12	0.665866954275162	0.0467
X1347	0	1	0	0	1	12	0.74861047046955	0.0083
X1369	0	1	0	0	1	12	0.61685370678147	0.0366
X1558	0	0	1	0	0	3	0.919972420231884	0.0013
X1583	0	1	0	0	0	2	0.974992772994738	2e-04
X1635	0	0	1	0	0	3	0.940241727607941	6e-04
X1636	0	0	0	0	1	5	0.970752501281232	8e-04
X1715	0	1	1	0	0	10	0.637931034482759	0.0377
X1728	0	1	0	0	1	12	0.657722033634241	0.0231
X1754	0	1	0	0	0	2	0.865719579514586	0.0014
X1820	0	0	1	0	0	3	0.933651075857622	8e-04
X1821	0	0	1	0	1	14	0.858532613466012	0.0027
X2037	0	1	0	0	0	2	0.885354968997165	0.0013
X2209	0	0	1	0	0	3	0.96955982186828	6e-04
