s.Control	s.Blood_D98	s.Faeces_D98	s.Pig_D98	s.Urine_D98	index	stat	p.value
X12	1	0	1	0	1	20	0.755914058164392	0.0044
X22	1	0	1	0	0	7	0.853013833050605	6e-04
X28	1	0	1	0	0	7	0.933108508521713	1e-04
X29	1	1	0	0	1	18	0.674525696613837	0.0205
X31	1	0	0	0	0	1	0.710155387379751	0.0198
X38	1	1	1	0	0	16	0.692457794073331	0.0185
X46	1	0	1	0	0	7	0.753462206844877	0.0074
X52	1	0	0	0	0	1	0.791421578648703	5e-04
X59	1	0	1	0	1	20	0.637065562138937	0.0445
X61	1	0	0	0	0	1	0.787797592558546	9e-04
X77	1	0	1	0	1	20	0.705039612230289	0.0107
X80	0	1	0	1	1	24	0.790367031931875	0.0055
X81	1	1	1	0	0	16	0.719865519008979	0.0079
X83	1	0	1	0	0	7	0.650744304777166	0.0395
X89	1	0	1	0	0	7	0.848366751251996	3e-04
X98	0	1	0	1	1	24	0.870943512668673	0.0011
X100	1	0	1	0	0	7	0.875681637092934	1e-04
X102	1	0	0	0	0	1	0.816785063023877	6e-04
X109	1	0	0	0	0	1	0.757106965264396	0.0035
X117	0	1	0	0	1	12	0.739713306948877	0.0057
X118	1	1	0	0	0	6	0.735051033327024	0.0064
X119	1	0	1	0	0	7	0.760021113749455	0.0013
X120	1	0	1	0	0	7	0.882497956628115	1e-04
X122	1	0	1	0	0	7	0.842705700781257	3e-04
X124	1	0	1	0	1	20	0.642555271064025	0.0427
X126	1	0	1	0	0	7	0.885434878372818	1e-04
X127	0	1	1	0	1	23	0.809710322997387	8e-04
X131	1	0	0	0	0	1	0.854538436525068	1e-04
X133	1	0	1	0	0	7	0.889645265349675	1e-04
X143	1	0	0	0	0	1	0.841597210764551	1e-04
X144	1	0	0	0	1	9	0.640040136356142	0.0469
X145	1	0	1	0	0	7	0.817177779577647	2e-04
X159	1	0	1	0	0	7	0.766472499923199	0.0017
X170	0	1	0	1	0	11	0.698887418112192	0.0176
X174	1	0	1	0	0	7	0.882301078102602	1e-04
X177	1	0	0	0	0	1	0.84259166374322	1e-04
X183	1	0	1	0	0	7	0.76055492179132	0.003
X185	1	1	1	0	0	16	0.658687013910649	0.0305
X186	1	0	1	0	0	7	0.724509282710738	0.0095
X187	1	0	1	0	0	7	0.676372826348684	0.022
X189	1	0	0	0	0	1	0.682970287933734	0.0211
X193	0	1	0	1	1	24	0.898373479561797	6e-04
X204	0	1	0	0	1	12	0.903603768802304	0.0016
X234	1	0	1	0	0	7	0.648429727408593	0.038
X244	1	0	0	0	0	1	0.837464083689174	1e-04
X245	0	1	0	0	1	12	0.829109300654448	0.0032
X255	1	0	0	0	0	1	0.762362365988451	0.0026
X260	0	1	0	0	1	12	0.69592318479904	0.0168
X269	1	0	1	0	0	7	0.655211333608518	0.0428
X284	1	0	1	0	0	7	0.651287600696563	0.0402
X285	1	0	1	0	0	7	0.739148433741587	0.0074
X286	1	1	0	0	0	6	0.709105302446734	0.0084
X289	1	0	1	0	0	7	0.693686425642014	0.0203
X296	0	0	0	0	1	5	0.879896529418864	4e-04
X317	0	1	1	0	0	10	0.767905842106528	0.0041
X335	1	0	1	0	0	7	0.70583513505385	0.0203
X336	1	0	1	0	0	7	0.691578076117097	0.0173
